trial_id,trial_type,clip1,clip2,clip3,clip4,clip5,clip6,clip7,clip8,clip9,clip10,clip11,clip12,question1,question1_image,question1_min,question1_max,question1_step,question2,question2_image,question2_min,question2_max,question2_step
1,faces,videos/UCLAPLD_2_F.mp4,videos/UCLAPLD_4_F.mp4,videos/UCLAPLD_5_F.mp4,videos/UCLAPLD_6_F.mp4,videos/UCLAPLD_7_F.mp4,videos/UCLAPLD_8_F.mp4,videos/UCLAPLD_9_F.mp4,videos/UCLAPLD_10_F.mp4,videos/UCLAPLD_11_F.mp4,videos/UCLAPLD_12_F.mp4,videos/UCLAPLD_13_F.mp4,videos/UCLAPLD_16_F.mp4,Gender,scales/genderScale_flipped.png,0,1,0.5,Masculine,scales/masculineScale.png,1,7,1
2,objects,videos/UCLAPLD_2_F.mp4,videos/UCLAPLD_4_F.mp4,videos/UCLAPLD_5_F.mp4,videos/UCLAPLD_6_F.mp4,videos/UCLAPLD_7_F.mp4,videos/UCLAPLD_8_F.mp4,videos/UCLAPLD_9_F.mp4,videos/UCLAPLD_10_F.mp4,videos/UCLAPLD_11_F.mp4,videos/UCLAPLD_12_F.mp4,videos/UCLAPLD_13_F.mp4,videos/UCLAPLD_16_F.mp4,Gender,scales/genderScale_flipped.png,0,1,0.5,Masculine,scales/masculineScale.png,1,7,1
